question_text,choice1,choice2,choice3,choice4,correct_answer,quiz_id
"What does HTML stand for?","Hyper Text Markup Language","Home Tool Markup Language","Hyperlinks and Text Markup Language","Hyper Tool Multi Language",1,2
"Which language is primarily used for web development?","Python","Java","JavaScript","C++",3,2
"Which company developed the Java programming language?","Apple","Google","Microsoft","Sun Microsystems",4,2
"Which of the following is a Python framework?","Laravel","Django","Rails","Spring",2,2
"Which symbol is used to indicate an ID in CSS?","#",".","*","$",1,2
"Which HTML tag is used to define an unordered list?","<ol>","<ul>","<li>","<list>",2,2
"What is the correct file extension for Python files?",".java",".py",".cpp",".php",2,2
"In which language is React written?","Python","C++","JavaScript","Java",3,2
"Which method is used to find the length of a string in JavaScript?","len()","length()","strLength()","size()",2,2
"What does CSS stand for?","Cascading Style Sheets","Computer Style Sheets","Creative Style Sheets","Colorful Style Sheets",1,2
"Which SQL statement is used to extract data from a database?","GET","EXTRACT","SELECT","OPEN",3,2
"Which Python keyword is used to create a function?","function","def","func","lambda",2,2
"What does JSON stand for?","JavaScript Object Notation","JavaScript Online Notation","Java Source Object Notation","JavaScript Object Native",1,2
"Which symbol is used for comments in Python?","#","//","/*","--",1,2
"Which method can be used to round a number to the nearest integer in Python?","round()","Math.round()","ceil()","floor()",1,2
"What is the value of the expression 2 + 2 * 2 in Python?","4","6","8","10",2,2
"Which of the following is a version control system?","Git","Docker","Jenkins","Kubernetes",1,2
"Which language is used to style web pages?","HTML","JQuery","CSS","XML",3,2
"What does SQL stand for?","Structured Query Language","Strong Question Language","Structured Query Link","Simple Query Language",1,2
"Which HTML element is used to specify a footer for a document or section?","<bottom>","<footer>","<foot>","<section>",2,2
